nom,canton,ville,annee_creation,effectif_estime,statut,cible,verticales,description_offre,degre_agenticite,stack_technique,modele_revenus,fourchette_prix,financement,clients_references,langues,hebergement_donnees,url,date_consultation,niveau_confiance
Neuralia,VS,Sion,nd,nd,startup,B2B,assurance/santé; comptabilité; immobilier; industrie; cliniques,"Solutions IA et data engineering sur mesure, plateforme Conversalia (déploiement de chatbots personnalisés avec support inclus), automatisation de rapports (cas client : 300+ heures/an économisées) ; studio soutenu par The Ark Foundation et CimArk ; fondateur Gary Folli",workflow automatisé,nd,forfait projet; abonnement,non disponible publiquement,soutien des structures de promotion économique valaisannes (montants nd),"Groupe Mutuel, Cheel, Baktrade, Jean-Reusse, clinique de la Riviera",FR,non précisé,https://valais-economie.ch/neuralia-deploie-des-solutions-concretes-dintelligence-artificielle-dans-les-pme/,2026-07-23,élevé
FlowBiz,VS,Sion,nd,nd,conseil,B2B,PME généralistes,"Assistants IA métier sur mesure, chatbots 24/7, automatisation de processus et de workflows (200+ templates revendiqués), intégration IA, conseil stratégique, services managés",workflow automatisé,"Docker, n8n, Dify, Infomaniak, RunPod.io, Mistral AI, OpenAI, Ollama, PostgreSQL, Next.js",forfait projet; abonnement,non disponible publiquement,nd,nd,FR; EN,"Suisse (cloud suisse, Infomaniak cité)",https://flowbiz.ai/en,2026-07-23,élevé
Les Précurseurs Lab,NE,Le Landeron,nd,nd,agence,B2B,fiduciaire; horlogerie; juridique; hospitality; retail; e-commerce; medtech; viticulture; RH; immobilier,"Agents IA et automatisation (CRM, facturation, e-mails, reporting), applications sur mesure (no-code à développement complet), IA vidéo et contenu, stratégie IA et ROI ; cas publiés : automatisation TVA fiduciaire (30-45 h/mois économisées), agent SAV horloger, RAG jurisprudence ; présence commerciale France et Suisse",workflow automatisé,"n8n (self-hosted), Make, Zapier ; LLM : Claude, GPT, Mistral",forfait projet; abonnement,agent IA 6 000 à 25 000 CHF (build) + 200 à 1 500 CHF/mois (run) ; chatbots luxe 25 000 à 50 000 CHF,nd,"cas anonymisés (fiduciaire vaudoise, horloger neuchâtelois, cabinet juridique genevois)",FR; DE; IT; EN,"UE ou on-premise (DPA, conformité LPD/RGPD)",https://www.lesprecurseurslab.ai/fr/,2026-07-23,élevé
IA Swiss,NE,Neuchâtel,nd,nd,agence,B2B,commerce; artisanat; services de proximité,"IA souveraine, formations (dont ChatGPT), assistants IA pour PME, automatisation, conseil pragmatique adapté aux outils existants ; couvre aussi Fribourg, Bulle, Morat, Romont ; site inaccessible lors de la collecte (403), données issues d'extraits de recherche",workflow automatisé,nd,nd,non disponible publiquement,nd,nd,FR,non précisé (positionnement IA souveraine),https://iaswiss.com/,2026-07-23,faible
Artificialy SA,TI,Lugano,2020,[EST] 35,startup,B2B,industrie; finance; high-tech,"Conception et implémentation de solutions IA sur mesure pour multinationales, ETI et startups ; 43 solutions livrées, 31 clients (chiffres déclaratifs) ; spin-off de l'écosystème académique tessinois IDSIA/USI/SUPSI (fondateurs Luca Maria Gambardella et Marco Zaffalon) ; bureau également à Zurich",workflow automatisé,nd,forfait projet,non disponible publiquement,investisseurs privés et institutionnels au capital (montants non divulgués),nd,IT; EN,non précisé,https://www.artificialy.com/,2026-07-23,moyen
Vudu AI Labs Sagl,TI,Camorino,nd,nd,agence,B2B,services professionnels et finance; immobilier; hospitality et tourisme; industrie et logistique; administration publique,"Studio AI-First : agents IA et automatisation opérationnelle, automatisation de processus, sites et applications propulsés par l'IA, feuilles de route stratégiques ; couvre tout le Tessin",workflow automatisé,nd,forfait projet,non disponible publiquement,nd,nd,IT; EN,non précisé,https://www.vudu.ch/en/ticino/servizi-ai,2026-07-23,élevé
Cervo.AI,TI,nd,nd,nd,agence,B2B,transverses (PME tous secteurs),"Chatbots IA personnalisés (génération de leads, support 24/7, onboarding), automatisation de tâches répétitives, intégrations CRM, notifications e-mail, transfert vers humain ; déploiement web, WhatsApp, Facebook, Instagram ; opère au Tessin et en Lombardie, entité juridique non vérifiée",chatbot,nd,forfait projet,non disponible publiquement (consultation gratuite d'entrée),nd,nd,IT (chatbots multilingues),non précisé,https://cervo.ai/chatbot-intelligenza-artificiale,2026-07-23,moyen
DigiLuxe AI,TI,Lugano,nd,nd,agence,B2B,services financiers; logistique; e-commerce; industrie; services professionnels; hospitality/retail; RH,"Développement logiciel IA sur mesure, automatisation de workflows administratifs et opérationnels, chatbots de support client, lead scoring et analytique prédictive, connecteurs API pour systèmes legacy, dashboards temps réel",workflow automatisé,"compatibilité SAP, Microsoft Dynamics, Salesforce évoquée ; stack propre non détaillée",forfait projet,non disponible publiquement (consultation initiale gratuite),nd,200+ entreprises au Tessin et en Suisse (chiffre déclaratif),IT,non précisé (conformité RGPD et LPD revendiquée),https://www.digiluxeai.com/automazione-processi-aziendali-ai-ticino-lugano/,2026-07-23,moyen
We Are Organica,TI,Lugano,nd,nd,agence,B2B,santé; banque; sport; hospitality; industrie; services communaux,"Agence digitale spécialisée en intégration IA et conseil : intégration de l'IA dans les processus d'affaires, optimisation ventes et marketing par IA et social selling, formation des équipes aux outils IA, dashboards d'analyse ; pas d'agents autonomes revendiqués",chatbot,nd,forfait projet; régie-TJM,non disponible publiquement,nd,"BPS Suisse, Hockey Club Lugano, Gruppo Ospedaliero Moncucco, Banca Credinvest, FEMTOprint",IT; EN; DE,non précisé,https://www.organica.agency/integrazione-intelligenza-artificiale-in-azienda-lugano-ticino.asp,2026-07-23,moyen
Inno-Mation,nd,nd,2021,nd,agence,B2B,banque privée; horlogerie; pharma et sciences de la vie; négoce international; hôtellerie-tourisme; PME industrielles,"Workflows n8n auto-hébergés, agents IA, chatbots et assistants vocaux, intégrations dans l'existant ; plus de 200 automatisations livrées, 68 % de temps gagné en moyenne (chiffres déclaratifs) ; présence annoncée Genève, Lausanne, Fribourg et France, siège exact non confirmé",workflow automatisé,"n8n (coeur), Make ; hébergement auto-géré",forfait projet,1 500 à 5 000 EUR pour un premier workflow ou chatbot ; 10 000 à 50 000 EUR pour un projet complet avec agents IA,nd,nd,FR,Suisse ou UE au choix du client (conformité nLPD/RGPD),https://inno-mation.com/agence-automatisation-suisse-romande,2026-07-23,moyen
Invariant Labs,ZH,Zurich,2024,nd,filiale,B2B,sécurité des agents IA (transverse),"Outils de sécurité pour agents autonomes : guardrails, détection de comportements non sûrs, analyse de traces d'agents, sécurité MCP ; spin-off ETH Zurich (labo SRI, Prof. Martin Vechev) acquise par Snyk en juin 2025, devenue centre de compétence sécurité des agents IA",infrastructure,nd,licence,non disponible publiquement,nd ; montant d'acquisition par Snyk non divulgué,nd,EN,non précisé,https://invariantlabs.ai,2026-07-23,élevé
Lakera,ZH,Zurich,2021,[EST] 70,filiale,B2B,cybersécurité de l'IA (transverse),"Lakera Guard (protection en temps réel des LLM, agents et workflows multimodaux), Lakera Red (red teaming avant déploiement), créateur du jeu Gandalf ; fondée par d'anciens de Google et Meta, affiliée ETH AI Center ; acquise par Check Point (2025), Zurich devient le Global Centre of Excellence for AI Security",infrastructure,nd,abonnement; licence,non disponible publiquement,"environ 30 M USD levés (dont Series A 20 M USD juillet 2024, Atomico lead, Citi Ventures, Dropbox Ventures, redalpine) ; acquisition par Check Point environ 300 M USD (montant de presse, non confirmé officiellement)",nd,EN,non précisé,https://www.lakera.ai,2026-07-23,élevé
LatticeFlow AI,ZH,Zurich,2020,nd,startup,B2B,"gouvernance et évaluation de l'IA (banque, industrie, défense)","Plateforme d'évaluation et de gouvernance des systèmes IA : évaluations scalables, tests adversariaux, évaluation d'agents IA sur cas réels ; COMPL-AI (premier cadre technique aligné sur l'AI Act, avec ETH Zurich et INSAIT) ; AI Insights (dont évaluation publique d'Apertus) ; spin-off ETH Zurich",infrastructure,nd,abonnement,non disponible publiquement,"2,8 M USD (2021) puis Series A de 12 M USD","Siemens Mobility, Intenseye, Voxel AI, Carscan",EN,non précisé,https://latticeflow.ai,2026-07-23,élevé
Calvin Risk,ZH,Zurich,2022,nd,startup,B2B,"gouvernance des risques IA (assurance, finance, industrie)","Plateforme SaaS de gouvernance et de quantification des risques des inventaires IA : tests automatisés, évaluation quantitative en temps réel, conformité réglementaire ; spin-off ETH Zurich",infrastructure,nd,abonnement,non disponible publiquement,"plus de 5 M USD au total, dont seed de 4 M USD (novembre 2024, Join Capital, seed + speed Ventures, b2venture, Founderful)",nd,EN,non précisé,https://www.calvin-risk.com,2026-07-23,élevé
Omnilex,ZH,Zurich,2024,nd,startup,B2B,juridique,"Espace de travail juridique IA pour avocats et études suisses : premier commentaire juridique généré par IA, combinaison lois, jurisprudence et commentaire dans un environnement de raisonnement, automatisation de la recherche juridique ; fondée à l'ETH Zurich (soutien Prof. Elliott Ash)",workflow automatisé,nd,abonnement,non disponible publiquement,"seed de 4,5 M USD (novembre 2025, Founderful, Plug and Play, Tiny Supercomputer Investment Company, Angel Invest)",nd,"nd (droit suisse, DE/FR/IT probable)",non précisé,https://omnilex.ai,2026-07-23,moyen
Giotto.ai,VD,Lausanne,2017,nd,startup,B2B+B2C,modèles de raisonnement; IA frugale embarquée; grand public (version cloud),"Modèle de raisonnement portable et AI operating system permettant un raisonnement agentique sur un seul GPU ; en tête de l'ARC Prize 2025 (27,08 % avec un modèle d'environ 200 M de paramètres) ; ouverture d'une version cloud grand public gratuite le 2026-07-01 (cloud.giotto.ai) ; EPFL Innovation Park, équipe avec alumni DeepMind, CERN, ETH",infrastructure,modèle de raisonnement propriétaire (~200 M paramètres) ; infrastructure NVIDIA B300 en Europe,licence; freemium,version cloud grand public gratuite au lancement ; offres entreprises non publiées,"historique non disponible publiquement ; recherche de plus de 200 M USD à valorisation supérieure à 1 Md USD en 2025-2026 (mandat Lazard, selon Reuters)",nd,EN (couverture linguistique du produit cloud nd),"UE (infrastructure en Europe, localisation exacte non précisée)",https://www.giotto.ai,2026-07-23,moyen
Supertext AG,ZH,Zurich,2016,120 (+ réseau de 3000+ freelances),editeur,B2B,"traduction et services linguistiques (banques, médias, industrie)",Plateforme combinant traduction automatique propriétaire (y compris dialectes et langues suisses) et traduction humaine ; briques de language AI sécurisées pour entreprises ; fusion Supertext + Textshuttle (spin-off UZH fondée en 2016) annoncée début 2025 ; sites Zurich et Berlin,workflow automatisé,traduction automatique propriétaire,abonnement; à l'usage,non disponible publiquement,nd,nd,"nd (offre multilingue, dialectes suisses)",Suisse (positionnement secure Swiss online translator),https://www.supertext.com,2026-07-23,élevé
Recapp IT AG,VS,Martigny,nd,nd,editeur,B2B,"reconnaissance vocale; transcription (parlements, médias, administrations)","Reconnaissance vocale spécialisée sur les langues nationales suisses et les dialectes suisses-allemands, transcription automatique (produits type Töggl) ; spin-off Idiap (incubateur IdeArk) ; brique technologique pour pipelines d'agents vocaux",infrastructure,reconnaissance vocale propriétaire,abonnement,non disponible publiquement,nd,nd,DE (dialectes suisses-allemands); FR; IT,Suisse (cloud suisse mis en avant),https://www.recapp.ch,2026-07-23,moyen
EthonAI,ZH,Zurich,2021,21,startup,B2B,industrie manufacturière,"Analytics de production par IA : détection et prévention des pertes de qualité ; spin-off ETH Zurich ; cas frontière hors du coeur agentique (pas d'agents autonomes), inclus comme spin-off IA emblématique",workflow automatisé,nd,abonnement,non disponible publiquement,"6,8 M USD seed (2023) puis Series A de 16,5 M USD (CHF 15 M, mai 2024, Index Ventures lead, General Catalyst, Earlybird, Founderful)",nd,EN,non précisé,https://ethon.ai,2026-07-23,élevé
Deloitte Suisse,ZH,Zurich,nd,[EST] plusieurs milliers (Suisse),conseil,B2B,services financiers (compliance); fonction finance/CFO; santé; industrie; secteur public,"Capacité dédiée Agentic AI en trois piliers : readiness/stratégie, design-build-deploy, operate-monitor-improve ; discours digital workers et collaboration humain-agent, cadre Trustworthy AI ; cas clients publiés internationaux, aucun cas suisse publié",workflow automatisé,"partenariats AWS, Google, Oracle, Salesforce, SAP, ServiceNow, Workday",forfait projet; régie-TJM,non disponible publiquement,nd (réseau mondial),nd (aucun client suisse nommé),DE; FR; EN,non précisé,https://www.deloitte.com/ch/en/what-we-do/capabilities/agentic-ai.html,2026-07-23,élevé
PwC Suisse,ZH,Zurich,nd,nd,conseil,B2B,services financiers; fiscalité et finance,"Offre AI agents adossée à PwC agent OS (plateforme d'orchestration du réseau, 250+ agents internes), assistant ChatPwC, playbook Agentic AI in Financial Services avec Microsoft, solution procure-to-pay ISMS ; investissement de CHF 50 M sur trois ans dans les capacités IA (AI Centre of Excellence) ; offre Trust in AI (audit de systèmes IA)",workflow automatisé,"Microsoft (alliance FS), plateforme propriétaire agent OS",forfait projet; régie-TJM,non disponible publiquement,nd,nd (aucun client suisse nommé),DE; FR; EN,non précisé,https://www.pwc.ch/en/services/artificial-intelligence/ai-agents.html,2026-07-23,moyen
EY Suisse,ZH,Zurich,nd,nd,conseil,B2B,services financiers; grandes entreprises,"Quatre modèles de service agentiques : Agent-Assisted Service Delivery, Agent-Assisted Managed Services, Agent as a Service, Agent Build as a Service, propulsés par la EY.ai Agentic Platform ; 150 agents déployés en interne au niveau réseau ; accent sur l'industrialisation (séparation test/production)",workflow automatisé,"EY.ai Agentic Platform (co-développée avec NVIDIA au niveau groupe), Microsoft",forfait projet; régie-TJM; abonnement,non disponible publiquement,nd,nd (aucun client suisse nommé),DE; FR; EN,non précisé,https://www.ey.com/en_ch/services/ai/agentic-ai,2026-07-23,élevé
KPMG Suisse,ZH,Zurich,nd,nd,conseil,B2B,finance; audit; expérience client,"KI Transformation (conseil stratégie et mise en oeuvre IA), Trusted AI (audit, gouvernance, risque, conformité), IA dans l'audit financier ; positionnement agentic surtout éditorial (signal de rebranding partiel) ; rapport agentique d'octobre 2025 retiré en juin 2026 après découverte d'hallucinations (cas UBS/CFF inventés)",RAG,"Google Agentspace (KPMG US, non confirmé pour la Suisse), Microsoft (niveau groupe)",forfait projet; régie-TJM,non disponible publiquement,nd,nd (les cas nommés dans le rapport retiré étaient faux),DE; FR; EN,non précisé,https://kpmg.com/ch/de/themen/kuenstliche-intelligenz.html,2026-07-23,moyen
Accenture Suisse,ZH,Zurich,nd,nd,filiale,B2B,banque et services financiers; multisectoriel,"Plateforme groupe AI Refinery et framework Distiller (SDK pour construire et déployer des agents à l'échelle) ; accompagnement des banques suisses (constat : phase Foundation and Quick Wins, pilotes sans passage à l'échelle) ; cas d'usage cités : coordination multi-agents de paiements transfrontaliers, réallocations de portefeuille ; bureau à Zurich et Le Grand-Saconnex (GE)",workflow automatisé,"AI Refinery (NVIDIA), alliances Microsoft, AWS, Google, Salesforce",forfait projet; régie-TJM,non disponible publiquement,nd (groupe coté),nd (aucun client suisse nommé),DE; FR; EN,non précisé,https://www.accenture.com/ch-en,2026-07-23,moyen
IBM Consulting Suisse,ZH,Zurich,nd,nd,filiale,B2B,banque; assurance; secteur public,"Implémentation autour de watsonx Orchestrate : agents no-code à pro-code (Agent Development Kit), orchestration multi-agents, connexion à 80+ applications d'entreprise, gouvernance centralisée des agents ; partenariat IBM + Phoenix Technologies (2024) pour une IA souveraine hébergée en Suisse ; IBM Research à Rüschlikon",workflow automatisé,"watsonx (Orchestrate, watsonx.ai), Granite/SLM, intégrations SAP, Salesforce, Microsoft, Workday",licence; forfait projet; régie-TJM,non disponible publiquement,nd (groupe coté),nd (aucun cas agentique suisse public),DE; FR; EN,Suisse possible (partenariat Phoenix Technologies),https://www.ibm.com/products/watsonx-orchestrate,2026-07-23,élevé
Capgemini Suisse,ZH,Zurich,nd,"600+ (Suisse, 4 sites)",filiale,B2B,IT ops; ingénierie logicielle; multisectoriel,"Offre groupe Agentic AI for Enterprise déclinée en Suisse : agents sur étagère, agents custom, agents embarqués dans les plateformes existantes ; multi-agents pour IT ops, Augmented Software Product Engineering ; rapport Rise of agentic AI (Capgemini Research Institute) ; sites Zurich, Bâle, Genève, Lausanne",workflow automatisé,"Google (agents Gemini-powered), Microsoft, AWS, SAP, Salesforce",forfait projet; régie-TJM,non disponible publiquement,nd (groupe coté),nd (aucun client suisse nommé),DE; FR; EN,non précisé,https://www.capgemini.com/ch-en/insights/research-library/ai-agents/,2026-07-23,élevé
adesso Schweiz AG,ZH,Zurich,nd,363,filiale,B2B,industrie; services financiers; sciences de la vie; secteur public,"Initiative Agentic Enterprise Fabrics (avec Salesforce) pour l'espace DACH : unité de compétence Agentic Enterprise dédiée à l'intégration des agents Agentforce et à la collaboration humain-agent ; adSCAILE (framework de développement logiciel agentique), adesso AI Hub (gouvernance IA et souveraineté) ; sites Zurich et Berne, filiale du groupe allemand adesso SE",workflow automatisé,"Salesforce/Agentforce (coeur), SAP, Snowflake, Google, AWS, MuleSoft, Informatica",forfait projet; régie-TJM; licence,non disponible publiquement,nd (groupe coté),nd,DE; EN,non précisé (souveraineté via adesso AI Hub),https://www.adesso.ch,2026-07-23,élevé
Zühlke,ZH,Schlieren,1968,nd,ESN,B2B,banque; assurance; santé/medtech; industrie; secteur public,"AI implementation incluant agentic AI process automation et assistants de connaissance ; plateforme accélératrice Zühlke Augmented Generation (ZAG) pour applications GenAI sur mesure ; cas publié : chatbot IA pour l'assureur UNIQA (Autriche, Microsoft Visionary Award 2024) ; niveau autonome revendiqué mais offre publique surtout assistants (signal de rebranding partiel)",RAG,"Microsoft, cloud multi-fournisseurs",forfait projet; régie-TJM,non disponible publiquement,nd,UNIQA (client autrichien),DE; FR; EN,non précisé,https://www.zuehlke.com/en/expertise/ai-implementation,2026-07-23,moyen
Adnovum,ZH,Zurich,1988,600 (tous sites),ESN,B2B,banques; assurances; secteur public; logistique,"ESN suisse de confiance (forte compétence IAM/sécurité, ML applicatif en logistique) ; pas de page agentic AI dédiée repérée, offre agentique publique faible ou émergente ; inclusion au titre d'intégrateur de confiance",RAG,nd,forfait projet; régie-TJM,non disponible publiquement,nd,nd,DE; EN,non précisé,https://www.adnovum.com,2026-07-23,faible
Swisscom SA,BE,Ittigen/Worblaufen,1998,[EST] 19000-20000 (groupe),ESN,B2B+B2C,télécoms; entreprises et secteur public; grand public,"Fournisseur et utilisateur avancé : Swiss AI Platform souveraine (datacenters Swisscom, NVIDIA DGX SuperPOD, modèles open source dont Apertus), GenAI Studio (low-code pour solutions GenAI et agents), AI Work Hub, Swiss AI Assistant pour PME (février 2026) ; côté B2C, chatbot personnel gratuit myAI (dialectes suisses-allemands, recherche à focus suisse, Superchats en version Pro) ; en interne, plateforme agentique sur Amazon Bedrock AgentCore avec MCP et protocole Agent2Agent (support client et vente)",agents autonomes multi-étapes,"NVIDIA (DGX SuperPOD), AWS Bedrock AgentCore, MCP, A2A, modèles open source curatés (dont Apertus)",abonnement; à l'usage; freemium,"myAI : niveau gratuit 0 CHF/mois, niveau Pro avec 12 mois gratuits (tarif ultérieur non affiché) ; offres B2B non publiées",nd (société cotée établie),nd,DE; FR; IT; EN (dialectes suisses-allemands),"Suisse (myAI : serveurs en Suisse et UE sous contrôle Swisscom, pas d'entraînement sur les données)",https://www.swisscom.ch/en/business/enterprise/offer/platforms-applications/data-driven-business/swiss-ai-platform.html,2026-07-23,élevé
Ergon Informatik,ZH,Zurich,1984,400+,ESN,B2B,"finance (sécurité, Airlock); industrie/IoT; smart building","Offre Data and Artificial Intelligence : solutions ML sur mesure (ex. SmartOrdering, commande automatique de pièces par ML), événements AI Breakfast sur la GenAI ; pas d'offre agents IA explicite, ML décisionnel proche de l'automatisation intelligente",workflow automatisé,nd,forfait projet; régie-TJM; licence,non disponible publiquement,nd,nd,DE; EN,non précisé,https://www.ergon.ch/en/services/data-and-artificial-intelligence,2026-07-23,moyen
isolutions,BE,Berne,nd,[EST] 200+,ESN,B2B,PME et grandes organisations; secteur public,"Intégrateur 100 % Microsoft : accompagnement Microsoft 365 Copilot de bout en bout (readiness, rollout, conformité), création d'agents Copilot (instructions, sources curées, actions), intégration d'agents Copilot Studio dans la Power Platform pour automatiser des processus (contrôle de conformité, tri d'e-mails) ; bureaux Berne, Zurich, Bâle, Barcelone",workflow automatisé,"exclusivement Microsoft : M365 Copilot, Copilot Studio, Power Platform, Azure AI, Entra, Purview",forfait projet; abonnement,non disponible publiquement,nd,nd,DE; FR; EN,non précisé (cadre Microsoft),https://www.isolutions.ch/en/news/copilot-agents-as-far-as-the-eye-can-see/,2026-07-23,élevé
D ONE,ZH,Zurich,2005,51-200,conseil,B2B,multisectoriel,"Boutique conseil data/IA : stratégie data, plateformes, ML/IA, conduite du changement (industrialisation de la data et de l'IA), extension GenAI ; offre agentique explicite non repérée dans les sources ; second site à Athènes",RAG,nd,forfait projet; régie-TJM,non disponible publiquement,nd,nd,DE; EN,non précisé,https://d-one.ai,2026-07-23,moyen
Edana,GE,Genève,nd,nd,agence,B2B,multisectoriel,"Conception d'agents IA autonomes (analyse de données, prise de décision, exécution de tâches), automatisation de processus, assistants conversationnels, agents d'analyse, intégration aux CRM/ERP/API/bases de données, mention d'IA souveraine",workflow automatisé,"LLM (OpenAI/ChatGPT cités), frameworks d'intégration ; MCP non mentionné",forfait projet,non disponible publiquement,nd,"CHUV, Manor, Maus Frères, AXA, Filinea, GPA, RidingUp (références d'agence, mandats non détaillés)",FR; EN,non précisé,https://edana.ch/developpement-agents-ia-suisse/,2026-07-23,moyen
Infomaniak Network SA (Euria),GE,Genève,1994,[EST] 500 (groupe),editeur,B2C,grand public; santé; éducation; droit; administration,"Euria (lancé le 2025-12-09) : assistant IA conversationnel gratuit, accessible sans compte (web et apps iOS/Android) : requêtes texte et voix, recherche web, analyse de documents (PDF, Word, Excel, images), transcription audio, mode éphémère sans conservation de trace ; adossé à l'écosystème kSuite",RAG,"modèles open source auto-hébergés, sans prestataire externe",freemium; abonnement,"gratuit sans compte ; my kSuite+ dès environ 19 EUR/an ; kSuite Pro dès environ 22,80 EUR/utilisateur/an (selon presse, à confirmer en CHF)",nd,nd,FR (couverture multilingue complète non détaillée),"Suisse (datacenters Infomaniak, aucune donnée utilisée pour l'entraînement)",https://euria.infomaniak.com,2026-07-23,élevé
Selma Finance AG,ZH,Zurich,nd,nd,startup,B2C,finance personnelle; investissement; pilier 3a,"Robo-advisor suisse (compte d'investissement et pilier 3a) avec Selma AI (lancée en mars 2024), présentée comme le premier conseiller financier suisse propulsé par l'IA : analyse en temps réel de la situation financière du client et recommandations individualisées ; 5 000+ clients et 12 000+ conversations le premier mois (chiffres de l'entreprise)",chatbot,nd,à l'usage,"frais de gestion 0,68 %/an sous 50 000 CHF, dégressifs jusqu'à 0,42 %/an ; coûts produits environ 0,22 %/an ; minimum 2 000 CHF (500 CHF pilier 3a) ; Selma AI incluse sans supplément",nd,5 000+ clients utilisateurs de Selma AI (déclaratif),DE; EN,non précisé,https://www.selma.com,2026-07-23,élevé
Yuh (Swissquote),VD,Gland,2021,nd,editeur,B2C,néobanque; finances personnelles,"Yuhlia (introduite vers avril 2026) : chatbot IA intégré à l'application Yuh, conseille sur les finances, analyse les habitudes de dépenses et les investissements ; architecture hybride : données clients dans un environnement isolé et sécurisé, requêtes générales via un fournisseur cloud suisse ; Yuh détenue à 100 % par Swissquote depuis juillet 2025",RAG,"architecture hybride, fournisseur cloud suisse",freemium,inclus dans l'application Yuh (gratuite),nd,nd,"FR; DE; IT; EN ([EST], langues de l'app)",Suisse (environnement isolé + cloud suisse),https://www.ictjournal.ch/news/2026-04-16/lapp-financiere-suisse-yuh-introduit-un-chatbot-ia-pour-analyser-finances-et,2026-07-23,élevé
KI Helfer,SG,Grabserberg,2025,[EST] 1-2,startup,B2C,créatifs; indépendants (prosumer),"Plateforme suisse tout-en-un à crédits (lancée le 2025-05-21) : chat IA, génération de code, images, vidéo, audio, 100+ modèles de rédaction (blogs SEO, e-mails de vente), speech-to-text et text-to-speech, assistants IA personnalisables, recherche web sur les paliers supérieurs",chatbot,nd,freemium; abonnement,"trois paliers : Free (150 crédits/mois), Pro (1 000 crédits/mois), Business (5 000 crédits/mois, 3 utilisateurs) ; montants en CHF non affichés",nd,nd,DE; EN,non précisé,https://kihelfer.ch/,2026-07-23,moyen
Magic Heidi,nd,nd,nd,[EST] 1-3,startup,B2C,"indépendants suisses en raison individuelle (consultants, artisans, freelances)","Application de facturation suisse (QR-facture), suivi des dépenses et comptabilité simple ; fonction IA : scanner de justificatifs (date, montant, TVA, catégorie, fournisseur à partir d'une photo), import de relevés bancaires (UBS, PostFinance, ZKB), gestion TVA, export fiscal ; 5 000+ utilisateurs revendiqués, note App Store 4,9",workflow automatisé,nd,freemium; abonnement,"gratuit (3 factures, 3 dépenses) ; 39 CHF/mois en mensuel ; 24,99 CHF/mois en annuel (299 CHF/an)",nd,5 000+ utilisateurs (déclaratif),DE; FR; IT; EN,Suisse (serveurs à Zurich),https://magicheidi.ch/fr,2026-07-23,élevé
Suisse Voice (Suisse IT GmbH),AG,Berikon,nd,nd,startup,B2B,cabinets dentaires; garages; cabinets médicaux; artisans; coiffeurs; institutions,"Plateforme no-code d'assistants téléphoniques IA (voice agents) : réception d'appels 24/7, réponses aux questions courantes, prise de rendez-vous avec accès agenda, confirmations SMS/e-mail, routage, transcriptions et résumés, intégrations Zapier/n8n/Make ; inscription self-serve, 20 CHF de crédit d'essai ; degré d'agenticité le plus élevé du segment prosumer suisse",workflow automatisé,"intégrations Zapier, n8n, Make",abonnement; à l'usage,abonnement annuel à tarif fixe avec 1 200 minutes incluses (montant exact non affiché) ; minutes supplémentaires à l'achat,nd,canton de Schaffhouse (référence institutionnelle),DE (dialectes suisses-allemands); FR; IT; 17+ autres langues,"Suisse (positionnement Swiss Made, conformité RGPD/LPD, options de déploiement isolé)",https://suisse-voice.ch/,2026-07-23,moyen
Earny,VD,Morges,nd,nd,startup,B2B,paie; PME et petites structures,Solution de gestion de la paie pour PME avec chatbot IA entraîné sur le droit suisse du travail et des salaires et sur les ressources internes de l'entreprise cliente ; dirigée par Ladislas Beuzelin,workflow automatisé,nd,abonnement,non disponible publiquement,nd,nd,FR,non précisé,https://www.startupticker.ch/en/news/swiss-ai-assistants-on-the-rise,2026-07-23,moyen
Ringler Informatik AG (eTax.ch),ZG,Baar,1986,nd,editeur,B2C,fiscalité des particuliers (y compris indépendants et agriculteurs),eTax.ch : déclaration d'impôt en ligne gratuite dans 15 cantons ; environ 40 % des déclarations fiscales suisses traitées via ses solutions (revendiqué) ; fonction IA annoncée (upcoming) : reconnaissance automatique des justificatifs et pré-remplissage sur un cloud IA souverain suisse,workflow automatisé,"cloud IA souverain suisse (annoncé), chiffrement AES-256",freemium,gratuit pour les contribuables (financé par les solutions professionnelles B2B Dr. Tax),nd,nd,DE; FR; IT; EN,Suisse (centres de données certifiés ISO conformes FINMA : Everyware AG ou infrastructures cantonales),https://etax.ch/,2026-07-23,élevé
